000,Computer science + knowledge + systems,
000/010,Bibliographies,
010/011,Bibliographies and catalogues,
010/012,Bibliographies and catalogues of individuals,
010/014,Bibliographies and catalogues of anonymous and pseudonymous works,
000/030,Encyclopaedias & books of facts,
030/032,General encyclopaedic works in English,
030/034,General encyclopaedic works in French + Occitan + Catalan,
030/033,General encyclopaedic works in other Germanic languages,
030/037,General encyclopaedic works in Slavic languages,
100,Philosophy and Psychology,
100/120,Epistemology,
100/120/121,Epistemology (Theory of knowledge),
100/120/126,The self,
100/120/127,The unconscious and the subconscious,
100/120/129,Origin and destiny of individual souls,
100/180,Ancient + medieval + eastern philosophy,
100/180/181,Eastern philosophy,
100/180/186,*Skeptic and Neoplatonic philosophies,
100/180/189,â€ Medieval western philosophy,
200,Religion,
200/230,Christianity & Christian theology,
200/230/231,God,
200/230/234,Salvation and grace,
200/230/235,Spiritual beings,
200/290,Other religions,
200/290/292,Classical religion (Greek and Roman religion),
200/290/294,Religions of Indic origin,
200/290/295,Zoroastrianism (Mazdaism + Parseeism)
200/290/297,Islam + Babism + Bahai Faith,
300,Social Sciences,
300/340,Law,
300/340/341,Law of nations,
300/340/345,Criminal law,
300/340/348,Laws + regulations + cases,
300/390,Customs + etiquette + folklore,
300/390/393,Death customs,
300/390/395,Etiquette (Manners),
300/390/398,Folklore,
300/390/399,Customs of war and diplomacy,
400,Language,
400/410,Linguistics,
400/410/412,Etymology of standard forms of languages,
400/410/418,Standard usage (Prescriptive linguistics),
400/410/419,Sign languages,
400/480,Classical & modern Greek languages,
400/480/481,Writing systems + phonology + phonetics of classical Greek,
400/480/482,Etymology of classical Greek,
400/480/483,Dictionaries of classical Greek,
400/480/485,Grammar of classical Greek,
500,Natural Sciences and Mathematics,
500/520,Astronomy,
500/520/521,Celestial mechanics,
500/520/523,Specific celestial bodies and phenomena,
500/520/525,Earth (Astronomical geography),
500/520/527,Celestial navigation,
500/550,Earth sciences & geology,
500/550/551,Geology + hydrology + meteorology,
500/550/552,Petrology,
500/550/559,Earth sciences of Australasia + Pacific Ocean islands + Atlantic Ocean islands + Arctic islands + Antarctica + extraterrestrial worlds,
600,Technology,
600/610,Medicine & health,
600/610/611,Human anatomy + cytology + histology,
600/610/613,Personal health and safety,
600/610/615,Pharmacology and therapeutics,
600/610/616,Diseases,
600/660,Chemical engineering,
600/660/662,Technology of explosives + fuels + related products,
600/660/664,Food technology,
600/660/669,Metallurgy,
700,Arts and Recreation,
700/730,Sculpture + ceramics + metalwork,
700/730/733,Greek + Etruscan + Roman sculpture,
700/730/735,Sculpture from 1400,
700/730/736,Carving and carvings,
700/770,Photography & computer art,
700/770/774,Holography,
700/770/776,Computer art (Digital art),
700/770/777,Cinematography and videography,
700/770/779,Photographic images,
800,Literature,
800/820,English & Old English literatures,
800/820/823,English fiction,
800/820/827,English humour and satire,
800/820/829,Old English (Anglo-Saxon) literature,
800/870,Latin & Italic literatures,
800/870/871,Latin poetry,
800/870/873,Latin epic poetry and fiction,
800/870/874,Latin lyric poetry,
800/870/877,Latin humour and satire,
900,History and Geography,
900/930,History of ancient world (to ca. 499),
900/930/932,*Egypt to 640,
900/930/933,*Palestine to 70,
900/930/935,*Mesopotamia to 637 and Iranian Plateau to 637,
900/960,History of Africa,
900/960/962,Egypt + Sudan + South Sudan,
900/960/963,Ethiopia and Eritrea,
900/960/966,West Africa and offshore islands,
900/960/967,Central Africa and offshore islands,